            stats
parameter             mean           sd          2.5%          25%          50%          75%
  A[12]         3.0170511
  A[13]        15.6250762
  A[14]        36.0997184
  A[15]         0.5427154
  A[16]         3.3853398
  A[17]         1.4036819
  A[18]         0.8636514
  A[19]         6.4716232
  A[20]        42.6623666
  A[21]        26.1018838
  A[22]         3.2649936
  A[23]         1.3783978
  A[24]         1.3325007
  A[25]         1.0612988
  B[1]          0.9014025
  B[2]          9.1559687
  B[3]          5.6370301
  B[4]          8.4493056
  B[5]         12.6637303
  B[6]          9.9258133
  B[7]          9.6145581
  B[8]          4.9437122
  B[9]         32.6435202
  B[10]         5.5373580
  B[11]         6.1180840
  B[12]         3.2273123
  B[13]        14.2682150
  B[14]        31.2745007
  B[15]         4.5494848
  B[16]         1.0159262
  B[17]         4.0375878
  B[18]         4.5249587
  B[19]         5.1418649
  B[20]        26.3254696
  B[21]        21.7321069
  B[22]         2.0670625
  B[23]         3.2865342
  B[24]         2.2967395
  B[25]         0.5153897
  log_lik[1]    1.7334535
  log_lik[2]    1.1476631
  log_lik[3]    0.5940460
  log_lik[4]    0.8520108
  log_lik[5]    0.8725349
  log_lik[6]    0.7091596
  log_lik[7]    0.9903406
  log_lik[8]    0.8277506
  log_lik[9]    2.2867743
  log_lik[10]  -0.4158676
  log_lik[11]   0.0647681
  log_lik[12]   0.6405098
  log_lik[13]   1.3544067
  log_lik[14]   1.8679566
  log_lik[15]   1.6748015
  log_lik[16]   1.2558062
  log_lik[17]  -0.3877039
  log_lik[18]   0.3993878
  log_lik[19]   0.9736826
  log_lik[20]   1.7774693
  log_lik[21]   1.7000498
  log_lik[22]   0.5856946
  log_lik[23]   1.0025728
  log_lik[24]  -0.1250913
  log_lik[25]   0.1996802
  likel        17.4765800
  EAIC        -16.2784178
  EBIC         -5.3085354
  lp__        436.9138041
